title,abstract,label
"SEED Servers: High-Performance Access to the SEED Genomes, Annotations, and Metabolic Models","

In recent years, the number of sequenced genomes and associated annotations has greatly increased. This has resulted in an ever-increasing need for improved access to large genomic datasets housed in different repositories. In response, SEED Servers have emerged as a powerful tool that enable high performance access to the vast collection of metagenomes, annotations and metabolic models available through The Integrated Microbial Genomes Advanced Access Tool (IMG/AAT). Through its extensive suite of data retrieval APIs, IMG/AAT provides researchers with direct access to bioinformatic knowledge from thousands of studies conducted on microbial communities across ecosystems around the globe. To ensure efficient utilization of this invaluable resource by scientists worldwide, SEED Servers are designed to facilitate a wide range of bioinformatic functions including sequence comparison and analysis; visualization; fast batch jobs; molecular simulation; gene prediction; phylogenetic tree construction; homology mapping and many more linked activities. With their ability to process large amounts of complex data quickly, these servers are aiding in accelerating progress towards uncovering meaningful biological insights from genomic inquiries as well as spurring innovation at an astronomical rate within the field.",1
Public health preparedness in Alberta: a systems-level study,"BACKGROUND: Recent international and national events have brought critical attention to the Canadian public health system and how prepared the system is to respond to various types of contemporary public health threats. This article describes the study design and methods being used to conduct a systems-level analysis of public health preparedness in the province of Alberta, Canada. The project is being funded under the Health Research Fund, Alberta Heritage Foundation for Medical Research. METHODS/DESIGN: We use an embedded, multiple-case study design, integrating qualitative and quantitative methods to measure empirically the degree of inter-organizational coordination existing among public health agencies in Alberta, Canada. We situate our measures of inter-organizational network ties within a systems-level framework to assess the relative influence of inter-organizational ties, individual organizational attributes, and institutional environmental features on public health preparedness. The relative contribution of each component is examined for two potential public health threats: pandemic influenza and West Nile virus. DISCUSSION: The organizational dimensions of public health preparedness depend on a complex mix of individual organizational characteristics, inter-agency relationships, and institutional environmental factors. Our study is designed to discriminate among these different system components and assess the independent influence of each on the other, as well as the overall level of public health preparedness in Alberta. While all agree that competent organizations and functioning networks are important components of public health preparedness, this study is one of the first to use formal network analysis to study the role of inter-agency networks in the development of prepared public health systems.",0
Resveratrol Inhibits KSHV Reactivation by Lowering the Levels of Cellular EGR-1,"

This paper evaluates the antireactivation effects of resveratrol on Kaposi's sarcoma-associated herpesvirus (KSHV) latency with a focus on early growth response 1 (EGR-1), a key regulator essential for viral reactivation.  With increasing prevalence, KSHV infection continues to be an important global health concern, making strategies for its control increasingly necessary. Research conducted in our laboratory demonstrated that resveratrol may provide novel methods to decrease the progression of this virus and increase therapeutic outcomes.

Title: Resveratrol Inhibits KSHV Reactivation by Lowering the Levels of Cellular EGR-1

The ability for Kaposi's sarcoma–associated herpesvirus (KSHV) latent infections to reactivate is dependent upon several components, including levels of transcription and posttranscriptional regulators such as early growth response 1(EGR-1). Recent research evaluating natural compounds has led to potential antireactivating effects of resveratrol on KSHV latency made possible due to decreased expression levels or marked attenuation in functions related to these key regulators. The present study aimed at determining if treatment with Resveratrol will modify EGR-1 expression in latently infected cells resulting in reduced viral reactivation. Our findings demonstrate that high concentrations ofresolverol significantly inhibited KSHS recruitment through modulation of cellular EGR 1 mRNA suggesting inhibition exerted via interaction between physiological ligands and molecular pathways regulating reactivation control is possible . Thus we conclude that resolverol could act as a novel therapeutic tool ensuring more efficient control over advance stages development prevention",1
Urbanisation and human health in China: spatial features and a systemic perspective,"

Urbanisation is one of the most pervasive changes in our world today and continues to have a profound effect on human health. This paper examines the implications of urbanisation for public health in agricultural-dependent China, with special attention to spatial features and a systemic perspective. Comprehensive non-survey research was conducted using reported data from 134 cities at county level in 22 provinces over five years (2012–2016). Descriptive statistical analyses were used to identify key factors correlated with human health within a broader framework encompassing both regional and local influences. Our results suggest that while hukou registration system privileges are far reaching, access to basic healthcare resources still varies significantly throughout rural regions, particularly due those located greater distances from urban centres. The findings provide valuable insight into potential disparities among population groups based on either their place of residence or other characteristics associated with migration trends further highlighting the importance of developing wellbeing strategies known for their ability
aliability address such social inequities case specificly tailored contexts where rapid development has indeed be revalatoris but inevitably come considerable costs.",1
An insight into the potentially old-wonder molecule—quercetin: the perspectives in foresee,"

This paper presents an investigation into quercetin, a potentially ancient molecule. Its structural complexity and significance has attracted the attention of researchers in recent years for its potential capacitive mechanism in health benefitting areas such as wound healing, anti-inflammatory drug targeting and protection against DNA damage. A holistic interpretation of several experiments to monitor the effects of quercetin on our body at molecular level have been studied here in order to shed light upon new perspectives with this multi purpose natural ‘wonder’ molecule. This article is further presented with underlying research data aiming to establish long lasting impressions over its uses and outcomes when used topically or orally by humans.",1
Differential Response of Primary Alveolar Type I and Type II Cells to LPS Stimulation,"

The continuous exposure to environmental pollutants and the development of chronic obstructive pulmonary disease (COPD) are a major health concern for millions worldwide. In this study, we investigated the differential response of primary alveolar type I and II cells to lipopolysaccharide (LPS) stimulation in order to better understand their interactions within an inflamed environment. Utilizing qRT-PCR, immunofluorescence microscopy, a caspase activity assay as well as flow cytometry techniques, our results revealed a modulation of pro inflammatory cytokine gene expression upon LPS stimuli primarily at the transcriptional level in both cell types with IL-6 having notable higher levels of induction compared to that of TNFα. Subsequent morphological assessment described various apoptotic proinflammatory markers indicating distinct reaction parameters depending on cell type studied with increased CPL2 production highlighted only during Type I responses against LPS stimulation while protein analysis depicted exceptionally high Bcl-3/c levels exclusive exclusively only during Type II activation. Taken together, these findings suggest that primary alveolar epithelium maintains different molecular characteristics intrinsic to epithelial cell type adaptation which ultimately determine its befitting outcome following acute inflammation by LPS activation.",1
"Initial psychological responses to Influenza A, H1N1 (""Swine flu"")","BACKGROUND: The outbreak of the pandemic flu, Influenza A H1N1 (Swine Flu) in early 2009, provided a major challenge to health services around the world. Previous pandemics have led to stockpiling of goods, the victimisation of particular population groups, and the cancellation of travel and the boycotting of particular foods (e.g. pork). We examined initial behavioural and attitudinal responses towards Influenza A, H1N1 (""Swine flu"") in the six days following the WHO pandemic alert level 5, and regional differences in these responses. METHODS: 328 respondents completed a cross-sectional Internet or paper-based questionnaire study in Malaysia (N = 180) or Europe (N = 148). Measures assessed changes in transport usage, purchase of preparatory goods for a pandemic, perceived risk groups, indicators of anxiety, assessed estimated mortality rates for seasonal flu, effectiveness of seasonal flu vaccination, and changes in pork consumption RESULTS: 26% of the respondents were 'very concerned' about being a flu victim (42% Malaysians, 5% Europeans, p < .001). 36% reported reduced public transport use (48% Malaysia, 22% Europe, p < .001), 39% flight cancellations (56% Malaysia, 17% Europe, p < .001). 8% had purchased preparatory materials (e.g. face masks: 8% Malaysia, 7% Europe), 41% Malaysia (15% Europe) intended to do so (p < .001). 63% of Europeans, 19% of Malaysians had discussed the pandemic with friends (p < .001). Groups seen as at 'high risk' of infection included the immune compromised (mentioned by 87% respondents), pig farmers (70%), elderly (57%), prostitutes/highly sexually active (53%), and the homeless (53%). In data collected only in Europe, 64% greatly underestimated the mortality rates of seasonal flu, 26% believed seasonal flu vaccination gave protection against swine flu. 7% had reduced/stopped eating pork. 3% had purchased anti-viral drugs for use at home, while 32% intended to do so if the pandemic worsened. CONCLUSION: Initial responses to Influenza A show large regional differences in anxiety, with Malaysians more anxious and more likely to reduce travel and to buy masks and food. Discussions with family and friends may reinforce existing anxiety levels. Particular groups (homosexuals, prostitutes, the homeless) are perceived as at greater risk, potentially leading to increased prejudice during a pandemic. Europeans underestimated mortality of seasonal flu, and require more information about the protection given by seasonal flu inoculation.",0
Observational Research in Childhood Infectious Diseases (ORChID): a dynamic birth cohort study,"

This manuscript presents the aims, design and methods of ‘Observational Research in Childhood Infectious Diseases (ORChID)': a dynamic birth cohort study. ORChID is a long-term longitudinal project investigating the epidemiology and determinants of major infectious diseases occurring during early infancy up to 5 years of age in Kyrgyzstan. By following newborns from selected maternity hospitals over time, screening for various infections at specific ages as well as collecting environmental data on hygiene standards and vaccination uptake per family, we seek to gain insight into pathways underlying transmission. Our primary hypothesis suggests that age-specific research into relevant risk factors may prove beneficial when designing interventions against childhood disease. The secondary benefit could be identifying regional hotspots within the country with higher or lower occurrence of particular kinds of infection based on lifestyle habits or other contextual details thus informing medical policy makers regarding preventive measures or targeted treatments on local levels. To this end we have written informed consent forms approved by Parents/Caregivers alongside ethical approval from our institution's Health Sciences Research Ethics Board committee prior to any field activity such as interviews taking place in participating households across ten rural health districts comprising urban and mountain regions using convenient sampling techniques thereby increasing inclusion accuracy among parents with young children under five years old whose home addresses are geographically known to cover subpopulations most exposed to common infections at certain developmental stages throughout their growth phase in Kyrgyzstan .",1
Activation of the Canonical Bone Morphogenetic Protein (BMP) Pathway during Lung Morphogenesis and Adult Lung Tissue Repair,"

This paper investigates the role of BMP signalling pathways in lung development and tissue regeneration. Despite the highly conserved nature of skeletal and organogenesis, only recently has research begun to uncover specific molecular mechanisms that govern each process. This comprehensive review focuses on recent findings surrounding the activation of canonical Bone Morphogenic Protein (BMP) signalling during both morphogenesis and repair in adult murine lung tissues in vivo. First, we discuss critical events leading to differentiation and self-renewal within stem cells through various stages of embryological development. We then apply this foundational knowledge to current understandings regarding cellular composition differences observed between proximal/distal regions throughout postnatal maturation before elucidating novel evidence linking BMP pathway activity with morphogenetic cell recruitment as well as long term pulmonary maturation. Finally, inhibited BMPs are discussed within postmortem sectioned preparations, representative of regenerative responses associated with extracellular matrix adhesinses or injuries consequent to environmental influences such as acidosis or asbestos exposure respectively. 
Activation of the Canonical Bone Morphogenetic Protein (BMP) Pathway during Lung Morphogenesis and Adult Lung Tissue Repair",1
Calculating the potential for within-flight transmission of influenza A (H1N1),"BACKGROUND: Clearly air travel, by transporting infectious individuals from one geographic location to another, significantly affects the rate of spread of influenza A (H1N1). However, the possibility of within-flight transmission of H1N1 has not been evaluated; although it is known that smallpox, measles, tuberculosis, SARS and seasonal influenza can be transmitted during commercial flights. Here we present the first quantitative risk assessment to assess the potential for within-flight transmission of H1N1. METHODS: We model airborne transmission of infectious viral particles of H1N1 within a Boeing 747 using methodology from the field of quantitative microbial risk assessment. RESULTS: The risk of catching H1N1 will essentially be confined to passengers travelling in the same cabin as the source case. Not surprisingly, we find that the longer the flight the greater the number of infections that can be expected. We calculate that H1N1, even during long flights, poses a low to moderate within-flight transmission risk if the source case travels First Class. Specifically, 0-1 infections could occur during a 5 hour flight, 1-3 during an 11 hour flight and 2-5 during a 17 hour flight. However, within-flight transmission could be significant, particularly during long flights, if the source case travels in Economy Class. Specifically, two to five infections could occur during a 5 hour flight, 5-10 during an 11 hour flight and 7-17 during a 17 hour flight. If the aircraft is only partially loaded, under certain conditions more infections could occur in First Class than in Economy Class. During a 17 hour flight, a greater number of infections would occur in First Class than in Economy if the First Class Cabin is fully occupied, but Economy class is less than 30% full. CONCLUSIONS: Our results provide insights into the potential utility of air travel restrictions on controlling influenza pandemics in the winter of 2009/2010. They show travel by one infectious individual, rather than causing a single outbreak of H1N1, could cause several simultaneous outbreaks. These results imply that, during a pandemic, quarantining passengers who travel in Economy on long-haul flights could potentially be an important control strategy. Notably, our results show that quarantining passengers who travel First Class would be unlikely to be an effective control strategy.",0
Novel Inhibitor Design for Hemagglutinin against H1N1 Influenza Virus by Core Hopping Method,"

This review paper centers around a novel inhibitor design, developed through the use of a core hopping method, for the Hemagglutinin (HA) protein of group 1 influenza A viruses such as H1N1. Specifically, this article describes and analyses the synthesis of peptide-based HA inhibitors from tricyclic scaffolds and illustrates how to obtain their 3D conformations by molecular modeling and quantum chemical methods. Furthermore, this analysis points to preliminary working models that can be used for further development and work into finding new methods for HA inhibition against H1N1 Influenza Virus and other related species. In sum, this research outreach offers an intriguing prospect in exploring alternative inhibitor designs through core hopping methodology in order to develop more efficient antiviral agents with improved activity towards prevalent infectious diseases such as Influenza caused by HINI virus or other similar pathogens at celular level.",1
Composition and Function of Haemolymphatic Tissues in the European Common Shrew,"BACKGROUND: Studies of wild animals responding to their native parasites are essential if we are to understand how the immune system functions in the natural environment. While immune defence may bring increased survival, this may come at a resource cost to other physiological traits, including reproduction. Here, we tested the hypothesis that wild common shrews (Sorex araneus), which produce large numbers of offspring during the one breeding season of their short life span, forgo investment in immunity and immune system maintenance, as increased longevity is unlikely to bring further opportunities for mating. In particular, we predicted that adult shrews, with shorter expected lifespans, would not respond as effectively as young animals to infection. METHODOLOGY/PRINCIPAL FINDINGS: We examined haemolymphatic tissues from wild-caught common shrews using light and transmission electron microscopy, applied in conjunction with immunohistology. We compared composition and function of these tissues in shrews of different ages, and the extent and type of inflammatory reactions observed in response to natural parasitic infections. All ages seemed able to mount systemic, specific immune responses, but adult shrews showed some signs of lymphatic tissue exhaustion: lymphatic follicles in adults (n = 21) were both smaller than those in sub-adults (n = 18; Wald = 11.1, p<0.05) and exhibited greater levels of depletion (Wald = 13.3, p<0.05). CONCLUSIONS/SIGNIFICANCE: Contrary to our expectations, shrews respond effectively to their natural parasites, and show little indication of immunosenescence as adults. The pancreas of Aselli, a unique lymphoid organ, may aid in providing efficient immune responses through the storage of large numbers of plasma cells. This may allow older animals to react effectively to previously encountered parasites, but infection by novel agents, and eventual depletion of plasma cell reserves, could both still be factors in the near-synchronous mortality of adult shrews observed shortly after breeding.",0
Rotavirus Structural Proteins and dsRNA Are Required for the Human Primary Plasmacytoid Dendritic Cell IFNα Response,"Rotaviruses are the leading cause of severe dehydrating diarrhea in children worldwide. Rotavirus-induced immune responses, especially the T and B cell responses, have been extensively characterized; however, little is known about innate immune mechanisms involved in the control of rotavirus infection. Although increased levels of systemic type I interferon (IFNα and β) correlate with accelerated resolution of rotavirus disease, multiple rotavirus strains, including rhesus rotavirus (RRV), have been demonstrated to antagonize type I IFN production in a variety of epithelial and fibroblast cell types through several mechanisms, including degradation of multiple interferon regulatory factors by a viral nonstructural protein. This report demonstrates that stimulation of highly purified primary human peripheral plasmacytoid dendritic cells (pDCs) with either live or inactivated RRV induces substantial IFNα production by a subset of pDCs in which RRV does not replicate. Characterization of pDC responses to viral stimulus by flow cytometry and Luminex revealed that RRV replicates in a small subset of human primary pDCs and, in this RRV-permissive small subset, IFNα production is diminished. pDC activation and maturation were observed independently of viral replication and were enhanced in cells in which virus replicates. Production of IFNα by pDCs following RRV exposure required viral dsRNA and surface proteins, but neither viral replication nor activation by trypsin cleavage of VP4. These results demonstrate that a minor subset of purified primary human peripheral pDCs are permissive to RRV infection, and that pDCs retain functionality following RRV stimulus. Additionally, this study demonstrates trypsin-independent infection of primary peripheral cells by rotavirus, which may allow for the establishment of extraintestinal viremia and antigenemia. Importantly, these data provide the first evidence of IFNα induction in primary human pDCs by a dsRNA virus, while simultaneously demonstrating impaired IFNα production in primary human cells in which RRV replicates. Rotavirus infection of primary human pDCs provides a powerful experimental system for the study of mechanisms underlying pDC-mediated innate immunity to viral infection and reveals a potentially novel dsRNA-dependent pathway of IFNα induction.",0
Red blood cell transfusion in the critically ill patient,"

This article presents an extensive evaluation of the use of Red Blood Cell Transfusion (RBCTx) for critically ill patients. The complexity of this medical treatment highlights the importance to accurately analyse and consider several aspects related to patient characteristics, recipient's condition and transfusion method before deciding whether or not to proceed with with a RBCTx. To reflect on current clinical guidelines influencing individually tailored care and ascertain potential areas in which further research is needed, literature was reviewed over a period from 1996-2018 on the role, efficacy and risks associated with red blood cell transfusions in critical illnesses. Ultimately it is hoped that this study will help provide guidance for future protocol development; helping clinicians ensure optimal safety and benefits for their patients when considering performing a RBCTx",1
Malignant mesothelioma,"Malignant mesothelioma is a fatal asbestos-associated malignancy originating from the lining cells (mesothelium) of the pleural and peritoneal cavities, as well as the pericardium and the tunica vaginalis. The exact prevalence is unknown but it is estimated that mesotheliomas represent less than 1% of all cancers. Its incidence is increasing, with an expected peak in the next 10–20 years. Pleural malignant mesothelioma is the most common form of mesothelioma. Typical presenting features are those of chest pain and dyspnoea. Breathlessness due to a pleural effusion without chest pain is reported in about 30% of patients. A chest wall mass, weight loss, sweating, abdominal pain and ascites (due to peritoneal involvement) are less common presentations. Mesothelioma is directly attributable to occupational asbestos exposure with a history of exposure in over 90% of cases. There is also evidence that mesothelioma may result from both para-occupational exposure and non-occupational ""environmental"" exposure. Idiopathic or spontaneous mesothelioma can also occur in the absence of any exposure to asbestos, with a spontaneous rate in humans of around one per million. A combination of accurate exposure history, along with examination radiology and pathology are essential to make the diagnosis. Distinguishing malignant from benign pleural disease can be challenging. The most helpful CT findings suggesting malignant pleural disease are 1) a circumferential pleural rind, 2) nodular pleural thickening, 3) pleural thickening of > 1 cm and 4) mediastinal pleural involvement. Involvement of a multidisciplinary team is recommended to ensure prompt and appropriate management, using a framework of radiotherapy, chemotherapy, surgery and symptom palliation with end of life care. Compensation issues must also be considered. Life expectancy in malignant mesothelioma is poor, with a median survival of about one year following diagnosis.",0
Mapping the sequence mutations of the 2009 H1N1 influenza A virus neuraminidase relative to drug and antibody binding sites,"In this work, we study the consequences of sequence variations of the ""2009 H1N1"" (swine or Mexican flu) influenza A virus strain neuraminidase for drug treatment and vaccination. We find that it is phylogenetically more closely related to European H1N1 swine flu and H5N1 avian flu rather than to the H1N1 counterparts in the Americas. Homology-based 3D structure modeling reveals that the novel mutations are preferentially located at the protein surface and do not interfere with the active site. The latter is the binding cavity for 3 currently used neuraminidase inhibitors: oseltamivir (Tamiflu(®)), zanamivir (Relenza(®)) and peramivir; thus, the drugs should remain effective for treatment. However, the antigenic regions of the neuraminidase relevant for vaccine development, serological typing and passive antibody treatment can differ from those of previous strains and already vary among patients. This article was reviewed by Sandor Pongor and L. Aravind.",0
"The Trojan Chicken Study, Minnesota",We conducted a study in the summer of 2004 at county fairs in the Midwest to investigate the role poultry exhibits have in spreading avian pathogens to humans. A nearly invisible powder (pathogen surrogate) that fluoresces under UV light was surreptitiously sprinkled each day on 1 show bird at each of 2 fairs. A UV light box was used to daily examine the hands of 94 poultry-exhibit participants (blinded regarding UV box results) for up to 4 days during the poultry shows. Enrollment and end-of-study questionnaires collected data on pathogen risk factors. Eight (8.5%) of 94 participants had evidence of fluorescent powder contamination (95% confidence interval 2.76%–14.26%). This contamination and infrequent handwashing practices suggest that county fairs are a possible venue for animal-to-human pathogen transmission.,0
Adherence and colonization by bacterial pathogens in explant cultures of bovine mammary tissue," 

This paper examines the adherence and colonization of bacterial pathogens in explant cultures of bovine mammary tissue. Explants are biopsies or small samples taken from animals that can be used to study a wide range of biological processes, specifically, milk production capabilities and potential associations with certain diseases. While the use of explants has been widely studied elsewhere, this study seeks to bring new insights into how bacteria may become attached or colonize the tissue through different stages and mechanisms. The results will have broad implications for both animal agriculture industry practices as well as better understanding pathogenic bacteria's behavior levels in mammals..",1
